index,ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID,Year,start_seconds,end_seconds,mid_seconds,opp_players_on,players_on,season
471820,04:57,"Fultz S.FOUL (P1.PN) (Z.Zarba)
Ivey Free Throw 1 of 2 (15 PTS)
Ivey Free Throw 2 of 2 (16 PTS)
",0,0,0,0,2024-02-04,22300704,0,0,ORL,2,1,-1,05:07,Off Arc 3 Make,0,Ivey Free Throw 2 of 2 (16 PTS),,DET,ORL,DET,1610612765,2024,1133,1143,1138.0,202711|1628995|1630595|1631093|1631105,1628365|1628976|1630532|1630591|1631094,2023-24
471821,05:23,"Duren OFF.Foul (P2) (Z.Zarba)
Duren Offensive Foul Turnover (P1.T7)
",0,0,0,0,2024-02-04,22300704,0,0,ORL,2,0,2,05:30,Off At Rim Make,1,Duren OFF.Foul (P2) (Z.Zarba),,DET,ORL,DET,1610612765,2024,1110,1117,1113.5,202711|1628995|1630595|1631093|1631105,1628365|1628976|1630532|1630591|1631094,2023-24
471822,05:23,"Duren OFF.Foul (P2) (Z.Zarba)
Duren Offensive Foul Turnover (P1.T7)
",0,0,0,0,2024-02-04,22300704,0,0,ORL,2,0,2,05:30,Off At Rim Make,1,Duren Offensive Foul Turnover (P1.T7),https://videos.nba.com/nba/pbp/media/2024/02/04/0022300704/244/56eba89b-fa50-a50f-8a28-9a9804b9c63f_960x540.mp4,DET,ORL,DET,1610612765,2024,1110,1117,1113.5,202711|1628995|1630595|1631093|1631105,1628365|1628976|1630532|1630591|1631094,2023-24
471823,05:44,"F. Wagner S.FOUL (P2.T4) (C.Flores)
Cunningham Free Throw 1 of 2 (5 PTS)
Cunningham Free Throw 2 of 2 (6 PTS)
",0,0,0,0,2024-02-04,22300704,0,0,ORL,2,1,2,05:58,Off Short Mid-Range Make,0,F. Wagner S.FOUL (P2.T4) (C.Flores),,DET,ORL,DET,1610612765,2024,1082,1096,1089.0,202711|1628995|1630595|1631093|1631105,203914|1628365|1628371|1629021|1630532,2023-24
471824,05:44,"F. Wagner S.FOUL (P2.T4) (C.Flores)
Cunningham Free Throw 1 of 2 (5 PTS)
Cunningham Free Throw 2 of 2 (6 PTS)
",0,0,0,0,2024-02-04,22300704,0,0,ORL,2,1,2,05:58,Off Short Mid-Range Make,0,Cunningham Free Throw 1 of 2 (5 PTS),,DET,ORL,DET,1610612765,2024,1082,1096,1089.0,202711|1628995|1630595|1631093|1631105,203914|1628365|1628371|1629021|1630532,2023-24
471825,05:44,"F. Wagner S.FOUL (P2.T4) (C.Flores)
Cunningham Free Throw 1 of 2 (5 PTS)
Cunningham Free Throw 2 of 2 (6 PTS)
",0,0,0,0,2024-02-04,22300704,0,0,ORL,2,1,2,05:58,Off Short Mid-Range Make,0,Cunningham Free Throw 2 of 2 (6 PTS),,DET,ORL,DET,1610612765,2024,1082,1096,1089.0,202711|1628995|1630595|1631093|1631105,203914|1628365|1628371|1629021|1630532,2023-24
471826,06:09,"MISS Bogdanovic 12' Fadeaway Jumper: Isaac BLOCK (1 BLK)
M. Wagner REBOUND (Off:0 Def:3)
",1,0,0,0,2024-02-04,22300704,0,0,ORL,2,0,4,06:20,Off Arc 3 Miss,0,MISS Bogdanovic 12' Fadeaway Jumper: Isaac BLOCK (1 BLK),https://videos.nba.com/nba/pbp/media/2024/02/04/0022300704/226/0c1d60ad-c366-1b40-8533-1492a7f8ff07_960x540.mp4,DET,ORL,DET,1610612765,2024,1060,1071,1065.5,202711|1628995|1630595|1631093|1631105,203914|1628365|1628371|1629021|1630532,2023-24
471827,06:09,"MISS Bogdanovic 12' Fadeaway Jumper: Isaac BLOCK (1 BLK)
M. Wagner REBOUND (Off:0 Def:3)
",1,0,0,0,2024-02-04,22300704,0,0,ORL,2,0,4,06:20,Off Arc 3 Miss,0,M. Wagner REBOUND (Off:0 Def:3),https://videos.nba.com/nba/pbp/media/2024/02/04/0022300704/228/dc1ac181-dab2-f63a-ccc1-c5d8b87ad15d_960x540.mp4,DET,ORL,DET,1610612765,2024,1060,1071,1065.5,202711|1628995|1630595|1631093|1631105,203914|1628365|1628371|1629021|1630532,2023-24
471828,06:42,"Duren 2' Alley Oop Dunk (11 PTS) (Bogdanovic 2 AST)
",1,1,0,0,2024-02-04,22300704,0,0,ORL,2,0,2,06:56,Off Long Mid-Range Miss,0,Duren 2' Alley Oop Dunk (11 PTS) (Bogdanovic 2 AST),https://videos.nba.com/nba/pbp/media/2024/02/04/0022300704/222/98e6bee7-7de1-620f-e931-8f234d3f191e_960x540.mp4,DET,ORL,DET,1610612765,2024,1024,1038,1031.0,202711|1628995|1630595|1631093|1631105,203914|1628365|1628371|1629021|1630532,2023-24
471830,07:51,"MISS Gallinari 27' 3PT Jump Shot
M. Wagner REBOUND (Off:0 Def:2)
",0,0,1,0,2024-02-04,22300704,0,0,ORL,2,0,2,08:09,Off Arc 3 Miss,0,MISS Gallinari 27' 3PT Jump Shot,https://videos.nba.com/nba/pbp/media/2024/02/04/0022300704/204/7c0e0923-f3d7-5a9d-292a-e197dc97b83b_960x540.mp4,DET,ORL,DET,1610612765,2024,951,969,960.0,201568|202692|203488|1631093|1631204,203914|1628371|1629021|1630175|1630532,2023-24
