index,ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID,Year,start_seconds,end_seconds,mid_seconds,players_on,opp_players_on,season,actionNumber,match_confidence
112631,11:34,"Clingan BLOCK (1 BLK): MISS Capela 9' Hook Shot
Camara REBOUND (Off:0 Def:1)
",1,0,0,0,2024-11-17,0022400239,0,0,POR,1,0,0,12:00,Off Dead Ball,0,Clingan BLOCK (1 BLK): MISS Capela 9' Hook Shot,,POR,ATL,ATL,1610612737,2024,0.0,26.0,13.0,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,11.0,0.35
112632,11:34,"Clingan BLOCK (1 BLK): MISS Capela 9' Hook Shot
Camara REBOUND (Off:0 Def:1)
",1,0,0,0,2024-11-17,0022400239,0,0,POR,1,0,0,12:00,Off Dead Ball,0,Camara REBOUND (Off:0 Def:1),,POR,ATL,ATL,1610612737,2024,0.0,26.0,13.0,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,12.0,0.4
222348,11:28,"MISS Camara 2' Running Layup
Risacher REBOUND (Off:0 Def:1)
",1,0,0,0,2024-11-17,0022400239,0,0,ATL,1,0,0,11:34,Off Block,0,Risacher REBOUND (Off:0 Def:1),,POR,ATL,POR,1610612757,2024,26.0,32.0,29.0,203924|1630703|1631101|1641739|1642270,203991|1629027|1630552|1630700|1642258,2024-25,8.0,0.25925925925925924
222347,11:28,"MISS Camara 2' Running Layup
Risacher REBOUND (Off:0 Def:1)
",1,0,0,0,2024-11-17,0022400239,0,0,ATL,1,0,0,11:34,Off Block,0,MISS Camara 2' Running Layup,,POR,ATL,POR,1610612757,2024,26.0,32.0,29.0,203924|1630703|1631101|1641739|1642270,203991|1629027|1630552|1630700|1642258,2024-25,10.0,0.8928571428571429
112630,11:23,"Young 25' 3PT Running Jump Shot (3 PTS) (Risacher 1 AST)
",0,0,1,1,2024-11-17,0022400239,0,0,POR,1,0,0,11:28,Off At Rim Miss,0,Young 25' 3PT Running Jump Shot (3 PTS) (Risacher 1 AST),,POR,ATL,ATL,1610612737,2024,32.0,37.0,34.5,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,12.0,0.07692307692307693
222345,10:57,"MISS Sharpe 21' Pullup Jump Shot
Capela REBOUND (Off:0 Def:1)
",1,0,0,0,2024-11-17,0022400239,0,0,ATL,1,0,-3,11:23,Off Arc 3 Make,0,MISS Sharpe 21' Pullup Jump Shot,,POR,ATL,POR,1610612757,2024,37.0,63.0,50.0,203924|1630703|1631101|1641739|1642270,203991|1629027|1630552|1630700|1642258,2024-25,10.0,0.4
222346,10:57,"MISS Sharpe 21' Pullup Jump Shot
Capela REBOUND (Off:0 Def:1)
",1,0,0,0,2024-11-17,0022400239,0,0,ATL,1,0,-3,11:23,Off Arc 3 Make,0,Capela REBOUND (Off:0 Def:1),,POR,ATL,POR,1610612757,2024,37.0,63.0,50.0,203924|1630703|1631101|1641739|1642270,203991|1629027|1630552|1630700|1642258,2024-25,12.0,0.7333333333333333
112629,10:54,"Young Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
",0,0,0,0,2024-11-17,0022400239,0,0,POR,1,0,3,10:57,Off Long Mid-Range Miss,1,Young Out of Bounds - Bad Pass Turnover Turnover (P1.T1),,POR,ATL,ATL,1610612737,2024,63.0,66.0,64.5,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,16.0,0.5242718446601942
222344,10:38,"MISS Henderson 16' Turnaround Fadeaway Shot
Johnson REBOUND (Off:0 Def:1)
",1,0,0,0,2024-11-17,0022400239,0,0,ATL,1,0,-3,10:54,Off Dead Ball,0,Johnson REBOUND (Off:0 Def:1),,POR,ATL,POR,1610612757,2024,66.0,82.0,74.0,203924|1630703|1631101|1641739|1642270,203991|1629027|1630552|1630700|1642258,2024-25,15.0,0.7
222343,10:38,"MISS Henderson 16' Turnaround Fadeaway Shot
Johnson REBOUND (Off:0 Def:1)
",1,0,0,0,2024-11-17,0022400239,0,0,ATL,1,0,-3,10:54,Off Dead Ball,0,MISS Henderson 16' Turnaround Fadeaway Shot,,POR,ATL,POR,1610612757,2024,66.0,82.0,74.0,203924|1630703|1631101|1641739|1642270,203991|1629027|1630552|1630700|1642258,2024-25,17.0,0.4888888888888889
112628,10:35,"Risacher 1' Running Dunk (2 PTS) (Johnson 1 AST)
",1,1,0,0,2024-11-17,0022400239,0,0,POR,1,0,3,10:38,Off Long Mid-Range Miss,0,Risacher 1' Running Dunk (2 PTS) (Johnson 1 AST),,POR,ATL,ATL,1610612737,2024,82.0,85.0,83.5,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,19.0,0.2962962962962963
222342,10:16,"MISS Grant 9' Turnaround Fadeaway Shot
Young REBOUND (Off:0 Def:1)
",1,0,0,0,2024-11-17,0022400239,0,0,ATL,1,0,-5,10:35,Off Timeout,0,Young REBOUND (Off:0 Def:1),,POR,ATL,POR,1610612757,2024,85.0,104.0,94.5,203924|1630703|1631101|1641739|1642270,203991|1629027|1630552|1630700|1642258,2024-25,25.0,0.7586206896551724
222341,10:16,"MISS Grant 9' Turnaround Fadeaway Shot
Young REBOUND (Off:0 Def:1)
",1,0,0,0,2024-11-17,0022400239,0,0,ATL,1,0,-5,10:35,Off Timeout,0,MISS Grant 9' Turnaround Fadeaway Shot,,POR,ATL,POR,1610612757,2024,85.0,104.0,94.5,203924|1630703|1631101|1641739|1642270,203991|1629027|1630552|1630700|1642258,2024-25,22.0,0.0975609756097561
112626,10:12,"Clingan S.FOUL (P1.T1) (J.Tiven)
Risacher Free Throw 1 of 2 (3 PTS)
Risacher Free Throw 2 of 2 (4 PTS)
",0,0,0,0,2024-11-17,0022400239,0,0,POR,1,1,5,10:16,Off Short Mid-Range Miss,0,Risacher Free Throw 1 of 2 (3 PTS),,POR,ATL,ATL,1610612737,2024,104.0,108.0,106.0,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,26.0,0.9577464788732394
112625,10:12,"Clingan S.FOUL (P1.T1) (J.Tiven)
Risacher Free Throw 1 of 2 (3 PTS)
Risacher Free Throw 2 of 2 (4 PTS)
",0,0,0,0,2024-11-17,0022400239,0,0,POR,1,1,5,10:16,Off Short Mid-Range Miss,0,Clingan S.FOUL (P1.T1) (J.Tiven),,POR,ATL,ATL,1610612737,2024,104.0,108.0,106.0,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,22.0,0.2465753424657534
112627,10:12,"Clingan S.FOUL (P1.T1) (J.Tiven)
Risacher Free Throw 1 of 2 (3 PTS)
Risacher Free Throw 2 of 2 (4 PTS)
",0,0,0,0,2024-11-17,0022400239,0,0,POR,1,1,5,10:16,Off Short Mid-Range Miss,0,Risacher Free Throw 2 of 2 (4 PTS),,POR,ATL,ATL,1610612737,2024,104.0,108.0,106.0,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,27.0,0.6857142857142857
222338,09:59,"MISS Clingan 2' Alley Oop Layup
Clingan REBOUND (Off:1 Def:0)
Clingan Putback Layup (2 PTS)
",2,1,0,0,2024-11-17,0022400239,0,1,ATL,1,0,-7,10:12,Off FT Make,0,Clingan Putback Layup (2 PTS),,POR,ATL,POR,1610612757,2024,108.0,121.0,114.5,203924|1630703|1631101|1641739|1642270,203991|1629027|1630552|1630700|1642258,2024-25,30.0,0.9508196721311475
222340,09:59,"MISS Clingan 2' Alley Oop Layup
Clingan REBOUND (Off:1 Def:0)
Clingan Putback Layup (2 PTS)
",2,1,0,0,2024-11-17,0022400239,0,1,ATL,1,0,-7,10:12,Off FT Make,0,MISS Clingan 2' Alley Oop Layup,,POR,ATL,POR,1610612757,2024,108.0,121.0,114.5,203924|1630703|1631101|1641739|1642270,203991|1629027|1630552|1630700|1642258,2024-25,28.0,0.4528301886792453
222339,09:59,"MISS Clingan 2' Alley Oop Layup
Clingan REBOUND (Off:1 Def:0)
Clingan Putback Layup (2 PTS)
",2,1,0,0,2024-11-17,0022400239,0,1,ATL,1,0,-7,10:12,Off FT Make,0,Clingan REBOUND (Off:1 Def:0),,POR,ATL,POR,1610612757,2024,108.0,121.0,114.5,203924|1630703|1631101|1641739|1642270,203991|1629027|1630552|1630700|1642258,2024-25,29.0,0.9508196721311475
112624,09:52,"Capela 1' Alley Oop Dunk (2 PTS) (Daniels 1 AST)
",1,1,0,0,2024-11-17,0022400239,0,0,POR,1,0,5,09:59,Off At Rim Make,0,Capela 1' Alley Oop Dunk (2 PTS) (Daniels 1 AST),,POR,ATL,ATL,1610612737,2024,121.0,128.0,124.5,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,31.0,0.8888888888888888
222337,09:39,"Henderson Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
",0,0,0,0,2024-11-17,0022400239,0,0,ATL,1,0,-7,09:52,Off At Rim Make,1,Henderson Out of Bounds - Bad Pass Turnover Turnover (P1.T1),,POR,ATL,POR,1610612757,2024,128.0,141.0,134.5,203924|1630703|1631101|1641739|1642270,203991|1629027|1630552|1630700|1642258,2024-25,33.0,0.21978021978021978
112623,09:26,"Johnson 9' Driving Floating Jump Shot (2 PTS) (Risacher 2 AST)
",1,1,0,0,2024-11-17,0022400239,0,0,POR,1,0,7,09:39,Off Dead Ball,0,Johnson 9' Driving Floating Jump Shot (2 PTS) (Risacher 2 AST),,POR,ATL,ATL,1610612737,2024,141.0,154.0,147.5,203991|1629027|1630552|1630700|1642258,203924|1630703|1631101|1641739|1642270,2024-25,34.0,0.9538461538461539
