ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID
00:15,"Davis P.FOUL (P6.PN)
Terry Free Throw 1 of 2 (22 PTS)
Terry Free Throw 2 of 2 (23 PTS)
",0,0,0,0,2005-03-23,20401005,1,0,GSW,4,0,10,00:19,Off Steal,0,Davis P.FOUL (P6.PN),,GSW,DAL,GSW,1610612744
00:15,"Davis P.FOUL (P6.PN)
Terry Free Throw 1 of 2 (22 PTS)
Terry Free Throw 2 of 2 (23 PTS)
",0,0,0,0,2005-03-23,20401005,1,0,GSW,4,0,10,00:19,Off Steal,0,Terry Free Throw 1 of 2 (22 PTS),,GSW,DAL,GSW,1610612744
00:15,"Davis P.FOUL (P6.PN)
Terry Free Throw 1 of 2 (22 PTS)
Terry Free Throw 2 of 2 (23 PTS)
",0,0,0,0,2005-03-23,20401005,1,0,GSW,4,0,10,00:19,Off Steal,0,Terry Free Throw 2 of 2 (23 PTS),,GSW,DAL,GSW,1610612744
00:27,"Davis P.FOUL (P5.PN)
Terry Free Throw 1 of 2 (20 PTS)
Terry Free Throw 2 of 2 (21 PTS)
",0,0,0,0,2005-03-23,20401005,1,0,GSW,4,0,8,00:33,Off FT Make,0,Davis P.FOUL (P5.PN),,GSW,DAL,GSW,1610612744
00:27,"Davis P.FOUL (P5.PN)
Terry Free Throw 1 of 2 (20 PTS)
Terry Free Throw 2 of 2 (21 PTS)
",0,0,0,0,2005-03-23,20401005,1,0,GSW,4,0,8,00:33,Off FT Make,0,Terry Free Throw 1 of 2 (20 PTS),,GSW,DAL,GSW,1610612744
00:27,"Davis P.FOUL (P5.PN)
Terry Free Throw 1 of 2 (20 PTS)
Terry Free Throw 2 of 2 (21 PTS)
",0,0,0,0,2005-03-23,20401005,1,0,GSW,4,0,8,00:33,Off FT Make,0,Terry Free Throw 2 of 2 (21 PTS),,GSW,DAL,GSW,1610612744
00:45,"Nowitzki Bad Pass Turnover (P6.T15)
",0,0,0,0,2005-03-23,20401005,0,0,GSW,4,0,10,01:01,Off At Rim Make,1,Nowitzki Bad Pass Turnover (P6.T15),,GSW,DAL,GSW,1610612744
01:11,"Biedrins S.FOUL (P5.PN)
Terry Free Throw 1 of 2 (18 PTS)
Terry Free Throw 2 of 2 (19 PTS)
",0,0,0,0,2005-03-23,20401005,0,0,GSW,4,1,10,01:31,Off FT Make,0,Biedrins S.FOUL (P5.PN),,GSW,DAL,GSW,1610612744
01:11,"Biedrins S.FOUL (P5.PN)
Terry Free Throw 1 of 2 (18 PTS)
Terry Free Throw 2 of 2 (19 PTS)
",0,0,0,0,2005-03-23,20401005,0,0,GSW,4,1,10,01:31,Off FT Make,0,Terry Free Throw 1 of 2 (18 PTS),,GSW,DAL,GSW,1610612744
01:11,"Biedrins S.FOUL (P5.PN)
Terry Free Throw 1 of 2 (18 PTS)
Terry Free Throw 2 of 2 (19 PTS)
",0,0,0,0,2005-03-23,20401005,0,0,GSW,4,1,10,01:31,Off FT Make,0,Terry Free Throw 2 of 2 (19 PTS),,GSW,DAL,GSW,1610612744
01:38,"MISS Daniels 16' Jump Shot
Richardson REBOUND (Off:1 Def:4)
",1,0,0,0,2005-03-23,20401005,0,0,GSW,4,0,13,02:04,Off Short Mid-Range Make,0,MISS Daniels 16' Jump Shot,,GSW,DAL,GSW,1610612744
