ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID
00:09,"MISS Carter 27' 3PT Jump Shot
Ariza REBOUND (Off:4 Def:3)
",0,0,1,0,2007-03-23,20601022,0,0,ORL,4,0,-8,00:20,Off Timeout,0,MISS Carter 27' 3PT Jump Shot,,ORL,BKN,BKN,1610612751
00:09,"MISS Carter 27' 3PT Jump Shot
Ariza REBOUND (Off:4 Def:3)
",0,0,1,0,2007-03-23,20601022,0,0,ORL,4,0,-8,00:20,Off Timeout,0,Ariza REBOUND (Off:4 Def:3),,ORL,BKN,BKN,1610612751
00:21,"Carter  Driving Layup (27 PTS)
",1,1,0,0,2007-03-23,20601022,0,0,ORL,4,0,-8,00:29,Off FT Make,0,Carter  Driving Layup (27 PTS),,ORL,BKN,BKN,1610612751
00:35,"MISS Kidd 25' 3PT Jump Shot
Nelson REBOUND (Off:2 Def:4)
",0,0,1,0,2007-03-23,20601022,0,0,ORL,4,0,-6,00:44,Off Timeout,0,MISS Kidd 25' 3PT Jump Shot,,ORL,BKN,BKN,1610612751
00:35,"MISS Kidd 25' 3PT Jump Shot
Nelson REBOUND (Off:2 Def:4)
",0,0,1,0,2007-03-23,20601022,0,0,ORL,4,0,-6,00:44,Off Timeout,0,Nelson REBOUND (Off:2 Def:4),,ORL,BKN,BKN,1610612751
01:06,"Ariza P.FOUL (P4.PN)
Carter Free Throw 1 of 2 (24 PTS)
Carter Free Throw 2 of 2 (25 PTS)
",0,0,0,0,2007-03-23,20601022,1,0,ORL,4,0,-6,01:10,Off Timeout,0,Ariza P.FOUL (P4.PN),,ORL,BKN,BKN,1610612751
01:06,"Ariza P.FOUL (P4.PN)
Carter Free Throw 1 of 2 (24 PTS)
Carter Free Throw 2 of 2 (25 PTS)
",0,0,0,0,2007-03-23,20601022,1,0,ORL,4,0,-6,01:10,Off Timeout,0,Carter Free Throw 1 of 2 (24 PTS),,ORL,BKN,BKN,1610612751
01:06,"Ariza P.FOUL (P4.PN)
Carter Free Throw 1 of 2 (24 PTS)
Carter Free Throw 2 of 2 (25 PTS)
",0,0,0,0,2007-03-23,20601022,1,0,ORL,4,0,-6,01:10,Off Timeout,0,Carter Free Throw 2 of 2 (25 PTS),,ORL,BKN,BKN,1610612751
01:12,"Turkoglu STEAL (1 STL): Nachbar Bad Pass Turnover (P1.T10)
",0,0,0,0,2007-03-23,20601022,0,0,ORL,4,0,-4,01:18,Off At Rim Miss,1,Turkoglu STEAL (1 STL): Nachbar Bad Pass Turnover (P1.T10),,ORL,BKN,BKN,1610612751
01:42,"MISS Carter 26' 3PT Jump Shot
Nets Rebound
Howard L.B.FOUL (P4.PN)
Collins Free Throw 1 of 2 (1 PTS)
MISS Collins Free Throw 2 of 2
Howard REBOUND (Off:3 Def:13)
",0,0,1,0,2007-03-23,20601022,1,1,ORL,4,0,-5,01:59,Off FT Make,0,MISS Carter 26' 3PT Jump Shot,,ORL,BKN,BKN,1610612751
01:42,"MISS Carter 26' 3PT Jump Shot
Nets Rebound
Howard L.B.FOUL (P4.PN)
Collins Free Throw 1 of 2 (1 PTS)
MISS Collins Free Throw 2 of 2
Howard REBOUND (Off:3 Def:13)
",0,0,1,0,2007-03-23,20601022,1,1,ORL,4,0,-5,01:59,Off FT Make,0,Nets Rebound,,ORL,BKN,BKN,1610612751
01:42,"MISS Carter 26' 3PT Jump Shot
Nets Rebound
Howard L.B.FOUL (P4.PN)
Collins Free Throw 1 of 2 (1 PTS)
MISS Collins Free Throw 2 of 2
Howard REBOUND (Off:3 Def:13)
",0,0,1,0,2007-03-23,20601022,1,1,ORL,4,0,-5,01:59,Off FT Make,0,Howard L.B.FOUL (P4.PN),,ORL,BKN,BKN,1610612751
01:42,"MISS Carter 26' 3PT Jump Shot
Nets Rebound
Howard L.B.FOUL (P4.PN)
Collins Free Throw 1 of 2 (1 PTS)
MISS Collins Free Throw 2 of 2
Howard REBOUND (Off:3 Def:13)
",0,0,1,0,2007-03-23,20601022,1,1,ORL,4,0,-5,01:59,Off FT Make,0,Collins Free Throw 1 of 2 (1 PTS),,ORL,BKN,BKN,1610612751
01:42,"MISS Carter 26' 3PT Jump Shot
Nets Rebound
Howard L.B.FOUL (P4.PN)
Collins Free Throw 1 of 2 (1 PTS)
MISS Collins Free Throw 2 of 2
Howard REBOUND (Off:3 Def:13)
",0,0,1,0,2007-03-23,20601022,1,1,ORL,4,0,-5,01:59,Off FT Make,0,MISS Collins Free Throw 2 of 2,,ORL,BKN,BKN,1610612751
01:42,"MISS Carter 26' 3PT Jump Shot
Nets Rebound
Howard L.B.FOUL (P4.PN)
Collins Free Throw 1 of 2 (1 PTS)
MISS Collins Free Throw 2 of 2
Howard REBOUND (Off:3 Def:13)
",0,0,1,0,2007-03-23,20601022,1,1,ORL,4,0,-5,01:59,Off FT Make,0,Howard REBOUND (Off:3 Def:13),,ORL,BKN,BKN,1610612751
01:59,"MISS Kidd  Driving Layup
Turkoglu REBOUND (Off:1 Def:6)
",1,0,0,0,2007-03-23,20601022,0,0,ORL,4,0,-3,02:10,Off At Rim Miss,0,MISS Kidd  Driving Layup,,ORL,BKN,BKN,1610612751
01:59,"MISS Kidd  Driving Layup
Turkoglu REBOUND (Off:1 Def:6)
",1,0,0,0,2007-03-23,20601022,0,0,ORL,4,0,-3,02:10,Off At Rim Miss,0,Turkoglu REBOUND (Off:1 Def:6),,ORL,BKN,BKN,1610612751
02:29,"MISS Nachbar 25' 3PT Jump Shot
Hill REBOUND (Off:1 Def:3)
",0,0,1,0,2007-03-23,20601022,0,0,ORL,4,0,-3,02:42,Off Long Mid-Range Miss,0,MISS Nachbar 25' 3PT Jump Shot,,ORL,BKN,BKN,1610612751
02:29,"MISS Nachbar 25' 3PT Jump Shot
Hill REBOUND (Off:1 Def:3)
",0,0,1,0,2007-03-23,20601022,0,0,ORL,4,0,-3,02:42,Off Long Mid-Range Miss,0,Hill REBOUND (Off:1 Def:3),,ORL,BKN,BKN,1610612751
03:06,"Jefferson  Slam Dunk (19 PTS) (Carter 5 AST)
",1,1,0,0,2007-03-23,20601022,0,0,ORL,4,0,-5,03:21,Off FT Make,0,Jefferson  Slam Dunk (19 PTS) (Carter 5 AST),,ORL,BKN,BKN,1610612751
03:21,"
MISS Kidd Free Throw Technical
Nets Rebound
MISS Jefferson  Layup
MAGIC Rebound
",1,0,0,0,2007-03-23,20601022,0,0,ORL,4,0,-4,03:35,Off Dead Ball,0,,,ORL,BKN,BKN,1610612751
03:21,"
MISS Kidd Free Throw Technical
Nets Rebound
MISS Jefferson  Layup
MAGIC Rebound
",1,0,0,0,2007-03-23,20601022,0,0,ORL,4,0,-4,03:35,Off Dead Ball,0,MISS Kidd Free Throw Technical,,ORL,BKN,BKN,1610612751
03:21,"
MISS Kidd Free Throw Technical
Nets Rebound
MISS Jefferson  Layup
MAGIC Rebound
",1,0,0,0,2007-03-23,20601022,0,0,ORL,4,0,-4,03:35,Off Dead Ball,0,Nets Rebound,,ORL,BKN,BKN,1610612751
03:21,"
MISS Kidd Free Throw Technical
Nets Rebound
MISS Jefferson  Layup
MAGIC Rebound
",1,0,0,0,2007-03-23,20601022,0,0,ORL,4,0,-4,03:35,Off Dead Ball,0,MISS Jefferson  Layup,,ORL,BKN,BKN,1610612751
03:21,"
MISS Kidd Free Throw Technical
Nets Rebound
MISS Jefferson  Layup
MAGIC Rebound
",1,0,0,0,2007-03-23,20601022,0,0,ORL,4,0,-4,03:35,Off Dead Ball,0,MAGIC Rebound,,ORL,BKN,BKN,1610612751
03:36,"Ariza STEAL (1 STL): Carter Lost Ball Turnover (P3.T9)
",0,0,0,0,2007-03-23,20601022,0,0,ORL,4,0,-4,03:50,Off FT Make,1,Ariza STEAL (1 STL): Carter Lost Ball Turnover (P3.T9),,ORL,BKN,BKN,1610612751
04:12,"MISS Jefferson  3PT Jump Shot
Ariza REBOUND (Off:4 Def:2)
",0,0,1,0,2007-03-23,20601022,0,0,ORL,4,0,-2,04:23,Off Arc 3 Miss,0,MISS Jefferson  3PT Jump Shot,,ORL,BKN,BKN,1610612751
04:12,"MISS Jefferson  3PT Jump Shot
Ariza REBOUND (Off:4 Def:2)
",0,0,1,0,2007-03-23,20601022,0,0,ORL,4,0,-2,04:23,Off Arc 3 Miss,0,Ariza REBOUND (Off:4 Def:2),,ORL,BKN,BKN,1610612751
04:47,"Jefferson  Layup (17 PTS)
",1,1,0,0,2007-03-23,20601022,0,0,ORL,4,0,-4,04:55,Off Long Mid-Range Make,0,Jefferson  Layup (17 PTS),,ORL,BKN,BKN,1610612751
05:13,"MISS Kidd 25' 3PT Jump Shot
Carter REBOUND (Off:3 Def:3)
MISS Carter  Driving Layup
Howard REBOUND (Off:3 Def:12)
",1,0,1,0,2007-03-23,20601022,0,1,ORL,4,0,-2,05:45,Off Timeout,0,MISS Kidd 25' 3PT Jump Shot,,ORL,BKN,BKN,1610612751
05:13,"MISS Kidd 25' 3PT Jump Shot
Carter REBOUND (Off:3 Def:3)
MISS Carter  Driving Layup
Howard REBOUND (Off:3 Def:12)
",1,0,1,0,2007-03-23,20601022,0,1,ORL,4,0,-2,05:45,Off Timeout,0,Carter REBOUND (Off:3 Def:3),,ORL,BKN,BKN,1610612751
05:13,"MISS Kidd 25' 3PT Jump Shot
Carter REBOUND (Off:3 Def:3)
MISS Carter  Driving Layup
Howard REBOUND (Off:3 Def:12)
",1,0,1,0,2007-03-23,20601022,0,1,ORL,4,0,-2,05:45,Off Timeout,0,MISS Carter  Driving Layup,,ORL,BKN,BKN,1610612751
05:13,"MISS Kidd 25' 3PT Jump Shot
Carter REBOUND (Off:3 Def:3)
MISS Carter  Driving Layup
Howard REBOUND (Off:3 Def:12)
",1,0,1,0,2007-03-23,20601022,0,1,ORL,4,0,-2,05:45,Off Timeout,0,Howard REBOUND (Off:3 Def:12),,ORL,BKN,BKN,1610612751
06:02,"House Bad Pass Turnover (P1.T8)
",0,0,0,0,2007-03-23,20601022,0,0,ORL,4,0,0,06:07,Off Long Mid-Range Miss,1,House Bad Pass Turnover (P1.T8),,ORL,BKN,BKN,1610612751
06:23,"MISS Carter 25' 3PT Jump Shot
Kidd REBOUND (Off:1 Def:5)
MISS House 25' 3PT Jump Shot
Carter REBOUND (Off:2 Def:3)
Nelson S.FOUL (P3.PN)
Carter Free Throw 1 of 2 (22 PTS)
Carter Free Throw 2 of 2 (23 PTS)
",0,0,2,0,2007-03-23,20601022,0,2,ORL,4,1,-2,06:43,Off At Rim Make,0,MISS Carter 25' 3PT Jump Shot,,ORL,BKN,BKN,1610612751
06:23,"MISS Carter 25' 3PT Jump Shot
Kidd REBOUND (Off:1 Def:5)
MISS House 25' 3PT Jump Shot
Carter REBOUND (Off:2 Def:3)
Nelson S.FOUL (P3.PN)
Carter Free Throw 1 of 2 (22 PTS)
Carter Free Throw 2 of 2 (23 PTS)
",0,0,2,0,2007-03-23,20601022,0,2,ORL,4,1,-2,06:43,Off At Rim Make,0,Kidd REBOUND (Off:1 Def:5),,ORL,BKN,BKN,1610612751
06:23,"MISS Carter 25' 3PT Jump Shot
Kidd REBOUND (Off:1 Def:5)
MISS House 25' 3PT Jump Shot
Carter REBOUND (Off:2 Def:3)
Nelson S.FOUL (P3.PN)
Carter Free Throw 1 of 2 (22 PTS)
Carter Free Throw 2 of 2 (23 PTS)
",0,0,2,0,2007-03-23,20601022,0,2,ORL,4,1,-2,06:43,Off At Rim Make,0,MISS House 25' 3PT Jump Shot,,ORL,BKN,BKN,1610612751
06:23,"MISS Carter 25' 3PT Jump Shot
Kidd REBOUND (Off:1 Def:5)
MISS House 25' 3PT Jump Shot
Carter REBOUND (Off:2 Def:3)
Nelson S.FOUL (P3.PN)
Carter Free Throw 1 of 2 (22 PTS)
Carter Free Throw 2 of 2 (23 PTS)
",0,0,2,0,2007-03-23,20601022,0,2,ORL,4,1,-2,06:43,Off At Rim Make,0,Carter REBOUND (Off:2 Def:3),,ORL,BKN,BKN,1610612751
06:23,"MISS Carter 25' 3PT Jump Shot
Kidd REBOUND (Off:1 Def:5)
MISS House 25' 3PT Jump Shot
Carter REBOUND (Off:2 Def:3)
Nelson S.FOUL (P3.PN)
Carter Free Throw 1 of 2 (22 PTS)
Carter Free Throw 2 of 2 (23 PTS)
",0,0,2,0,2007-03-23,20601022,0,2,ORL,4,1,-2,06:43,Off At Rim Make,0,Nelson S.FOUL (P3.PN),,ORL,BKN,BKN,1610612751
06:23,"MISS Carter 25' 3PT Jump Shot
Kidd REBOUND (Off:1 Def:5)
MISS House 25' 3PT Jump Shot
Carter REBOUND (Off:2 Def:3)
Nelson S.FOUL (P3.PN)
Carter Free Throw 1 of 2 (22 PTS)
Carter Free Throw 2 of 2 (23 PTS)
",0,0,2,0,2007-03-23,20601022,0,2,ORL,4,1,-2,06:43,Off At Rim Make,0,Carter Free Throw 1 of 2 (22 PTS),,ORL,BKN,BKN,1610612751
06:23,"MISS Carter 25' 3PT Jump Shot
Kidd REBOUND (Off:1 Def:5)
MISS House 25' 3PT Jump Shot
Carter REBOUND (Off:2 Def:3)
Nelson S.FOUL (P3.PN)
Carter Free Throw 1 of 2 (22 PTS)
Carter Free Throw 2 of 2 (23 PTS)
",0,0,2,0,2007-03-23,20601022,0,2,ORL,4,1,-2,06:43,Off At Rim Make,0,Carter Free Throw 2 of 2 (23 PTS),,ORL,BKN,BKN,1610612751
07:09,"Ariza BLOCK (1 BLK): MISS Carter  Layup
Nets Rebound
Howard S.FOUL (P3.PN)
MISS Jefferson Free Throw 1 of 2
Nets Rebound
MISS Jefferson Free Throw 2 of 2
Turkoglu REBOUND (Off:1 Def:5)
",1,0,0,0,2007-03-23,20601022,0,1,ORL,4,1,0,07:27,Off At Rim Make,0,Ariza BLOCK (1 BLK): MISS Carter  Layup,,ORL,BKN,BKN,1610612751
07:09,"Ariza BLOCK (1 BLK): MISS Carter  Layup
Nets Rebound
Howard S.FOUL (P3.PN)
MISS Jefferson Free Throw 1 of 2
Nets Rebound
MISS Jefferson Free Throw 2 of 2
Turkoglu REBOUND (Off:1 Def:5)
",1,0,0,0,2007-03-23,20601022,0,1,ORL,4,1,0,07:27,Off At Rim Make,0,Nets Rebound,,ORL,BKN,BKN,1610612751
07:09,"Ariza BLOCK (1 BLK): MISS Carter  Layup
Nets Rebound
Howard S.FOUL (P3.PN)
MISS Jefferson Free Throw 1 of 2
Nets Rebound
MISS Jefferson Free Throw 2 of 2
Turkoglu REBOUND (Off:1 Def:5)
",1,0,0,0,2007-03-23,20601022,0,1,ORL,4,1,0,07:27,Off At Rim Make,0,Howard S.FOUL (P3.PN),,ORL,BKN,BKN,1610612751
07:09,"Ariza BLOCK (1 BLK): MISS Carter  Layup
Nets Rebound
Howard S.FOUL (P3.PN)
MISS Jefferson Free Throw 1 of 2
Nets Rebound
MISS Jefferson Free Throw 2 of 2
Turkoglu REBOUND (Off:1 Def:5)
",1,0,0,0,2007-03-23,20601022,0,1,ORL,4,1,0,07:27,Off At Rim Make,0,MISS Jefferson Free Throw 1 of 2,,ORL,BKN,BKN,1610612751
07:09,"Ariza BLOCK (1 BLK): MISS Carter  Layup
Nets Rebound
Howard S.FOUL (P3.PN)
MISS Jefferson Free Throw 1 of 2
Nets Rebound
MISS Jefferson Free Throw 2 of 2
Turkoglu REBOUND (Off:1 Def:5)
",1,0,0,0,2007-03-23,20601022,0,1,ORL,4,1,0,07:27,Off At Rim Make,0,Nets Rebound,,ORL,BKN,BKN,1610612751
07:09,"Ariza BLOCK (1 BLK): MISS Carter  Layup
Nets Rebound
Howard S.FOUL (P3.PN)
MISS Jefferson Free Throw 1 of 2
Nets Rebound
MISS Jefferson Free Throw 2 of 2
Turkoglu REBOUND (Off:1 Def:5)
",1,0,0,0,2007-03-23,20601022,0,1,ORL,4,1,0,07:27,Off At Rim Make,0,MISS Jefferson Free Throw 2 of 2,,ORL,BKN,BKN,1610612751
07:09,"Ariza BLOCK (1 BLK): MISS Carter  Layup
Nets Rebound
Howard S.FOUL (P3.PN)
MISS Jefferson Free Throw 1 of 2
Nets Rebound
MISS Jefferson Free Throw 2 of 2
Turkoglu REBOUND (Off:1 Def:5)
",1,0,0,0,2007-03-23,20601022,0,1,ORL,4,1,0,07:27,Off At Rim Make,0,Turkoglu REBOUND (Off:1 Def:5),,ORL,BKN,BKN,1610612751
07:35,"Nelson STEAL (1 STL): Boone Lost Ball Turnover (P1.T7)
",0,0,0,0,2007-03-23,20601022,0,0,ORL,4,0,2,07:49,Off Long Mid-Range Miss,1,Nelson STEAL (1 STL): Boone Lost Ball Turnover (P1.T7),,ORL,BKN,BKN,1610612751
08:14,"Turkoglu S.FOUL (P2.PN)
MISS Boone Free Throw 1 of 2
Nets Rebound
Boone Free Throw 2 of 2 (6 PTS)
",0,0,0,0,2007-03-23,20601022,0,0,ORL,4,1,1,08:17,Off Arc 3 Miss,0,Turkoglu S.FOUL (P2.PN),,ORL,BKN,BKN,1610612751
